TimeStamp;AngleElbow;AngleWrist;AngleShoulder;LShoulderElbow;LElbowWrist
4698312;107.722317;172.7143739;123.3495633;0.19974594;0.243434495
4698328;131.0902043;150.2272396;118.7071274;0.211354436;0.191747134
4698328;131.1680682;151.9435326;117.9326714;0.216251266;0.194979659
4698359;129.312631;174.5887852;116.8485503;0.218092315;0.241963095
4698390;126.9190848;174.8478973;117.7953415;0.203054871;0.248209348
4698421;136.5644455;150.8683233;117.8266151;0.201459692;0.184527692
4698453;136.9571947;153.0433249;117.4212852;0.200498996;0.184194784
4698484;132.1277005;151.575484;115.9068945;0.212188302;0.184193741
4698515;132.9529471;152.7164227;115.4169954;0.215436261;0.184077005
4698562;132.5024185;153.4792542;114.8745476;0.217873496;0.184023167
4698593;132.2007112;162.5758263;115.9625407;0.203059036;0.197762525
4698625;131.1897479;160.4752103;116.0896948;0.200550229;0.225264148
4698656;128.8143451;153.3169384;114.8823618;0.210396002;0.198939288
4698687;125.6962521;152.0970938;114.0863589;0.215854714;0.198064494
4698718;120.0033412;160.9962518;111.4164614;0.208816966;0.182760661
4698750;118.9226598;159.0207151;110.4352177;0.192914057;0.199761805
4698796;125.4023541;164.2619943;112.9770965;0.191461578;0.197934651
4698828;124.1043104;165.4303522;112.3345763;0.204993707;0.19120679
4698859;125.4218954;165.543621;111.9995979;0.207119363;0.190144181
4698890;125.9453583;164.8786252;112.153552;0.208828055;0.188398235
4698921;131.501547;160.4251709;112.0801006;0.211537641;0.181190599
4698953;125.921017;163.4033468;111.6887126;0.211760695;0.181255491
4698984;125.1577173;163.8111833;111.707835;0.213521449;0.181247894
4699031;123.2091308;163.969781;111.6173346;0.214423767;0.182223114
4699062;121.9331274;130.9231624;111.8358399;0.215444701;0.235635443
4699093;120.2917797;160.5251544;111.7523181;0.215154039;0.24215747
4699125;130.4585014;157.6136214;114.8872185;0.198293514;0.180713066
4699156;130.7032012;160.514482;115.2035585;0.196079403;0.180553803
4699187;125.8866184;163.2242559;113.475045;0.204859156;0.180573084
4699218;126.3564568;161.8916989;112.9165027;0.210308388;0.180581843
4699250;126.1926605;162.8932307;112.8993284;0.212942819;0.180563726
4699281;128.4448067;140.1130317;114.6765396;0.203832154;0.180329854
4699328;129.2840255;153.3718176;115.2671433;0.200957742;0.180214882
4699359;129.8440191;163.0673089;115.8796284;0.19821005;0.180052154
4699390;128.3178148;162.8868825;114.5881087;0.202704399;0.179952697
4699421;128.2167885;155.6656437;113.9592386;0.206415883;0.179761002
4699453;128.2860527;151.1076489;115.609985;0.200173432;0.179717336
4699484;128.6729249;159.7892513;116.4395858;0.19754231;0.179593919
4699515;129.1299743;151.5603024;115.0948615;0.204143508;0.179356463
4699562;126.6606737;156.4459323;114.3560996;0.207296019;0.179455678
4699593;125.144601;154.2545269;113.8970463;0.209770139;0.179383822
4699625;114.9661314;162.3082433;112.9845382;0.19819799;0.179412238
4699656;115.6538184;159.8291663;112.2453413;0.199740998;0.179277306
4699687;116.2885743;159.6942879;111.9336313;0.203974941;0.179249941
4699718;106.4980456;168.8228475;113.272864;0.203417444;0.191008459
4699750;127.299298;162.1218184;118.9851936;0.194820698;0.195917167
4699796;117.1445641;147.6200731;118.3981801;0.233600158;0.220146212
4699828;134.4900119;172.6108975;117.5183597;0.240053351;0.240466394
4699859;120.2510674;172.529727;122.5853865;0.197731515;0.240233124
4699890;122.8348122;170.7816147;118.6848121;0.240179107;0.240674885
4699921;119.0496801;170.1961193;119.1040538;0.240238041;0.206357839
4699953;119.0940848;171.0226679;120.7071437;0.240803912;0.204322069
4699984;115.3693834;171.9426657;121.075084;0.241234752;0.202668194
4700015;112.0402905;168.5461327;121.625857;0.241271244;0.19175544
4700062;106.7999285;175.1951267;122.6094024;0.241433632;0.205818393
4700093;105.8279425;171.2998114;126.6924775;0.241510448;0.187525584
4700125;103.5677472;168.4887958;126.3272378;0.242235108;0.218384162
4700156;97.26576337;174.1335751;127.0193207;0.235016743;0.208790513
4700187;94.44677822;174.3412111;126.9778789;0.234346342;0.242276596
