TimeStamp;AngleElbow;AngleWrist;AngleShoulder;LShoulderElbow;LElbowWrist;;;;;
4854156;115.3071165;174.1699009;161.1433996;0.217157798;0.238299723;;;;;
4854156;102.7861479;175.5050146;154.91613;0.253607642;0.215452223;;;;;
4854187;102.7678605;175.3697637;154.6752644;0.253523873;0.216068615;;;;;
4854218;103.0828026;175.2353568;154.4534707;0.254321972;0.216319661;;;;;
4854250;103.1941777;175.4716725;154.3780839;0.253971968;0.217435555;;;;;
4854296;103.2879433;175.7167008;154.3480389;0.253441798;0.217300036;;;;;
4854328;103.5526288;175.6577896;154.2305185;0.254252758;0.21593034;;;;;
4854359;103.5625561;174.8481323;153.988097;0.254678346;0.216850624;;;;;
4854390;103.5520612;174.1629439;153.7874926;0.255334051;0.216231313;;;;;
4854421;103.4586836;173.3366239;153.8144566;0.25473149;0.216872064;;;;;
4854453;103.6237249;173.0042924;153.6157672;0.255412831;0.216768251;;;;;
4854484;103.6205715;172.4373572;153.4482144;0.255325886;0.217115984;;;;;
4854531;103.6552296;171.1298547;153.4741831;0.255186824;0.217112047;;;;;
4854562;103.3661513;170.7484348;153.7184037;0.254154694;0.217681021;;;;;
4854593;103.4332908;169.5476687;153.6423684;0.254084178;0.217765607;;;;;
4854625;103.4248031;168.5455944;153.6419298;0.254395788;0.217275441;;;;;
4854656;103.143669;168.4559893;153.7294781;0.253667763;0.217774453;;;;;
4854687;102.9948254;168.1709588;153.8074923;0.253534085;0.217412485;;;;;
4854718;102.6617551;168.6714511;153.8684009;0.253333616;0.216909093;;;;;
4854765;102.4247111;168.5810312;153.7591319;0.253778452;0.216520293;;;;;
4854796;102.1319327;167.7441254;153.9128189;0.253068219;0.217386711;;;;;
4854828;101.9699769;167.0336709;154.0451251;0.253117855;0.217021704;;;;;
4854859;101.4969523;168.2388791;154.1285745;0.253076124;0.216756093;;;;;
4854890;101.196113;168.5585283;154.169252;0.252243557;0.216605777;;;;;
4854921;101.0664063;168.2480765;154.1663876;0.251567213;0.216967159;;;;;
4854953;100.8089856;168.8370179;154.3664608;0.250881753;0.217440742;;;;;
4854984;100.3514329;168.3792295;154.3004446;0.251043973;0.217368984;;;;;
4855015;99.75893176;168.3296881;154.1573414;0.251436635;0.217147865;;;;;
4855062;99.19036157;168.4057747;154.2565687;0.251130185;0.217346159;;;;;
4855093;98.74024487;168.7465861;154.4015241;0.250642539;0.217728495;;;;;
4855125;98.36693085;169.7037923;154.5131114;0.250366172;0.218566491;;;;;
4855156;98.0283908;171.831521;154.6794282;0.249567572;0.218077283;;;;;
4855187;98.39611423;172.4013679;154.6179131;0.249549276;0.215859016;;;;;
4855218;98.36946174;173.1874248;154.7043505;0.249109186;0.216147871;;;;;
4855250;98.56584892;173.0630054;154.7047487;0.248802223;0.215159304;;;;;
4855296;98.70234821;173.0179586;154.758444;0.248703922;0.214425294;;;;;
4855328;98.66799265;173.7859782;154.7345612;0.248632589;0.214781186;;;;;
4855359;98.99540922;174.1393266;154.6042703;0.248546222;0.215009196;;;;;
4855390;99.23763723;173.6806119;154.4689635;0.248551465;0.215105895;;;;;
4855421;99.3818286;174.1721531;154.482627;0.248350645;0.215746369;;;;;
4855453;99.52587704;173.9507528;154.4102521;0.248147352;0.216176413;;;;;
4855484;99.50426772;174.245797;154.3294469;0.248384972;0.216337813;;;;;
4855515;99.42077803;174.4370338;154.2992129;0.248531282;0.216493526;;;;;
4855562;99.25009997;174.4775401;154.1733695;0.249216386;0.216533726;;;;;
4855593;99.05828823;174.4885093;154.1736314;0.249554859;0.216754802;;;;;
4855625;98.8218616;174.2024277;154.2227323;0.249910838;0.217013044;;;;;
4855656;98.68812441;174.3821376;154.2068184;0.250331119;0.21665771;;;;;
4855687;98.48815527;174.4015253;154.2523314;0.250723245;0.215642951;;;;;
4855718;98.32720802;174.9943214;154.3585454;0.251036995;0.215044542;;;;;
4855750;98.23470642;174.9922294;154.3598107;0.25126503;0.214123754;;;;;
4855796;98.10309607;175.7500479;154.2301367;0.251587555;0.213505998;;;;;
4855828;97.92488761;175.5973979;154.1597004;0.251927217;0.212869381;;;;;
4855859;97.8776472;176.2278041;153.9856481;0.252232382;0.213612948;;;;;
4855890;97.68262431;176.2885692;154.0773971;0.25217704;0.213835839;;;;;
4855921;97.77979174;176.4369155;154.2238005;0.252563668;0.2122214;;;;;
4855953;97.79527679;176.1721724;154.4533219;0.252215154;0.213899379;;;;;
4855984;97.27060879;176.3483775;154.6209687;0.247806428;0.214056326;;;;;
4856031;97.23675431;175.6160006;154.5054069;0.245730929;0.214830938;;;;;
4856062;97.0992069;174.9776858;154.1442868;0.244710284;0.214955556;;;;;
4856093;96.94165744;174.8551456;153.7440713;0.244193894;0.215236769;;;;;
4856125;97.00124567;174.7698223;153.4144353;0.244064074;0.215325681;;;;;
4856156;96.97981258;175.3456084;153.7422844;0.24633903;0.215705844;;;;;
4856187;96.95354753;173.9969205;153.4248493;0.245622959;0.215831317;;;;;
4856218;96.87808411;174.5559858;153.2573724;0.245200658;0.215711428;;;;;
4856250;97.00980393;173.6927458;153.4553186;0.247049103;0.21539883;;;;;
4856296;97.14471906;173.5721516;153.6238025;0.248313175;0.215167118;;;;;
4856328;97.23603118;173.5103142;153.7542947;0.249257255;0.214983981;;;;;
4856359;97.30165882;173.547357;153.9165494;0.25000484;0.214779743;;;;;
4856390;97.30520931;175.2150942;153.8785425;0.250640681;0.214244094;;;;;
4856421;97.41744681;175.4470634;153.9119284;0.251211108;0.214041453;;;;;
4856453;97.4320917;175.8654331;153.9492433;0.251704599;0.213959243;;;;;
4856484;97.31543658;177.096563;153.5570844;0.250020947;0.21384279;;;;;
4856515;97.2474246;176.2107284;153.3150616;0.248933203;0.213670228;;;;;
4856562;97.35173975;176.0191414;153.410266;0.249858026;0.213573967;;;;;
4856593;97.39311605;176.1715386;153.4749086;0.250707811;0.213376093;;;;;
4856625;97.41170222;176.8676432;153.5270268;0.251215588;0.213406913;;;;;
4856656;97.30654212;177.4330832;153.2224166;0.249578876;0.213211044;;;;;
4856687;97.2353754;177.4707622;153.0118363;0.248453911;0.213209453;;;;;
4856718;97.40937678;178.2934825;153.0092438;0.249689441;0.213351177;;;;;
4856750;97.42579343;178.1560489;152.7932621;0.248550827;0.213132266;;;;;
4856781;97.57578977;177.6583429;152.7692286;0.249923681;0.213234199;;;;;
4856828;97.50022588;176.9206537;152.6210964;0.248554618;0.213246424;;;;;
4856859;97.39285883;176.5714576;152.5808581;0.247761336;0.213287857;;;;;
4856890;97.29591626;177.1251434;152.5574744;0.247096354;0.213161028;;;;;
4856921;97.37080722;177.2086189;152.6921974;0.24908675;0.213086969;;;;;
4856953;97.28853477;177.4827569;152.9076814;0.249843356;0.213100228;;;;;
4856984;97.09737291;178.7898388;153.119328;0.250405017;0.213278045;;;;;
4857015;96.98538014;179.7429952;153.3532702;0.250780761;0.213539219;;;;;
4857062;96.97760636;177.8491047;153.5869002;0.251351031;0.213351021;;;;;
4857093;96.94095076;176.8828827;153.8144358;0.251760825;0.213324941;;;;;
4857125;97.04981955;176.2113293;154.0325408;0.252323257;0.213356713;;;;;
4857156;97.20170116;175.218137;154.5191083;0.252831198;0.21217583;;;;;
4857187;97.46917934;175.0050311;154.5680713;0.252837911;0.212771621;;;;;
4857218;97.28604481;174.0266707;155.0521227;0.251668588;0.213329118;;;;;
4857250;97.47941476;173.613417;155.5947465;0.25053361;0.214374587;;;;;
4857296;97.44462711;172.5090619;155.8439101;0.250534906;0.214610564;;;;;
